Time (days),Mu
2,0.12874
4,0.98693
5,0.17186
7,0.14052
9,0.14311
11,0.86102
12,0.12694
13,0.47747
14,0.43962
15,0.32508
16,0.29388
17,0.40535
18,0.75348
19,0.43948
20,0.46771
21,0.81581
22,0.24926
25,0.11117
26,0.44525
27,0.24759
28,0.44727
29,0.54545
30,0.33313
32,0.24702
33,0.17833
35,0.1934
37,0.18795
38,0.20045
40,0.16195
41,0.10423
44,0.81923
46,0.13923
47,0.33254
48,0.27568
49,0.28427
50,0.18565
52,0.1881
53,0.34434
55,0.13416
57,0.97925
60,0.11939
62,0.88729
64,0.65147
65,0.2087
66,0.13436
68,0.84977
75,0.27536
77,0.53898
78,0.33843
85,0.41848
86,0.36523
87,0.19172
88,0.19327
90,0.15475
91,0.51446
92,0.12306
93,0.55669
94,0.52645
95,0.27794
96,0.26558
97,0.39634
98,0.93757
99,0.26044
100,0.14041
101,0.78604
102,0.11378
103,0.64157
104,0.23767
106,0.1694
108,0.12897
110,0.16993
111,0.54515
112,0.1926
113,0.17029
114,0.24736
116,0.14165
118,0.90426
119,0.54527
120,0.19133
121,0.19463
123,0.15138
124,0.19466
128,0.75092
130,0.14576
132,0.98359
133,0.19769
134,0.2063
135,0.22771
138,0.66095
139,0.19417
143,0.68163
146,0.59921
