Time (days),Mu,P
4.9,1.3199,0.99913
9.8,1.3309,0.044381
14.700000000000001,1.6847,0.21244
19.6,6.2687,0.80249
24.5,3.283,0.84636
29.4,4.3427,0.90275
34.3,2.9476,0.063389
39.199999999999996,2.215,0.047037
44.099999999999994,1.7946,0.50169
48.99999999999999,2.653,0.59221
53.89999999999999,2.5464,0.41553
58.79999999999999,1.143,0.25353
63.69999999999999,1.8662,0.058574
68.6,0.66205,1.0793
78.4,0.34579,0.71492
88.20000000000002,0.90202,0.70103
93.10000000000002,2.3502,1.1279
98.00000000000003,4.2016,1.1628
102.90000000000003,7.9511,1.1672
107.80000000000004,1.9747,1.1028
112.70000000000005,2.1399,0.86589
117.60000000000005,1.4001,0.83432
122.50000000000006,3.1726,0.19119
127.40000000000006,1.3696,0.68725
132.30000000000007,1.6852,1.0192
137.20000000000007,1.0524,1.0207
142.10000000000008,1.1161,0.051488
147.00000000000009,0.57711,0.10182
