date,time,lat,lon,depth,ML,nstn,dmin,gap,trms,ERH,ERZ,fixed,nph,quality
2021-04-07,12:15:22.13,24.0232,121.5908,30.66,1.83,22,6.60,162,0.25,0.80,0.60,F,38,C
2021-04-07,13:19:36.02,23.8470,121.4622,17.38,4.94,99,4.40,35,0.32,0.10,0.10,F,254,B
2021-04-07,16:35:02.13,23.9435,121.6527,43.61,3.21,99,5.30,94,0.32,0.20,0.20,F,271,C
2021-04-07,21:50:52.32,24.0420,121.6640,48.68,1.95,17,7.40,206,0.28,1.20,1.20,F,29,D
2021-04-08,11:11:48.70,23.5713,121.5298,20.07,1.04,14,15.00,193,0.27,0.50,0.40,F,27,C
2021-04-09,03:31:22.41,24.1037,121.6230,34.13,2.18,35,3.10,175,0.35,0.40,0.30,F,70,C
2021-04-09,07:40:15.64,24.2673,121.6872,29.01,2.55,31,7.70,104,0.36,0.80,0.60,F,52,B
2021-04-09,07:41:49.83,24.2628,121.6788,32.43,2.33,16,8.70,145,0.44,1.60,1.20,F,25,C
2021-04-09,08:10:53.26,24.2760,121.7028,29.67,3.79,99,5.80,80,0.29,0.20,0.10,F,188,B
2021-04-09,08:41:43.97,24.2782,121.6962,28.39,2.92,78,6.30,97,0.27,0.20,0.20,F,145,B
2021-04-09,09:05:21.16,24.1320,121.5720,18.75,2.56,43,5.20,88,0.23,0.20,0.20,F,85,B
2021-04-09,20:01:38.62,24.0760,121.6858,42.96,3.58,99,8.30,80,0.31,0.10,0.10,F,301,B
2021-04-10,01:10:09.18,24.0833,121.6673,44.69,3.18,95,6.40,91,0.31,0.30,0.20,F,173,C
2021-04-10,01:28:52.92,23.9673,121.5045,48.44,1.80,15,1.20,84,0.26,0.50,0.60,F,23,B
2021-04-10,15:06:16.33,23.8985,121.6655,40.36,2.02,27,16.10,204,0.32,0.50,0.50,F,51,D
2021-04-10,15:17:07.63,24.0063,121.4913,38.79,1.84,29,4.50,108,0.30,0.40,0.40,F,53,B
2021-04-10,21:29:48.28,24.0697,121.6457,46.56,2.12,39,4.30,173,0.34,0.70,0.50,F,71,C
2021-04-11,01:04:28.02,23.8703,121.4770,14.44,2.28,33,7.40,63,0.26,0.20,0.20,F,64,B
2021-04-11,04:44:40.81,24.1025,121.6867,46.87,2.27,45,8.70,94,0.29,0.40,0.40,F,80,B
2021-04-11,12:11:15.75,23.8673,121.4592,18.35,2.76,71,6.40,41,0.29,0.20,0.20,F,123,B
2021-04-11,16:17:07.89,23.9557,121.5572,36.82,2.05,29,6.10,72,0.45,1.30,1.30,F,46,A
2021-04-11,19:36:19.54,23.8500,121.6665,40.96,2.15,40,8.90,142,0.50,1.30,1.40,F,65,C
2021-04-12,01:08:08.39,24.0058,121.6798,30.17,4.09,99,7.60,104,0.50,0.60,0.40,F,239,B
2021-04-12,01:55:21.41,23.8117,121.4180,25.75,2.65,55,2.40,46,0.27,0.20,0.30,F,100,B
2021-04-12,03:12:58.53,24.1685,121.5900,13.80,2.53,36,0.80,64,0.32,0.20,0.20,F,71,B
2021-04-12,11:38:56.73,23.6560,121.4658,18.59,1.56,16,4.20,143,0.23,0.60,0.70,F,29,C
2021-04-12,16:51:56.51,23.7987,121.4417,8.03,1.38,32,1.50,78,0.38,0.20,0.20,F,59,B
2021-04-13,01:04:43.78,24.2485,121.7262,14.71,2.43,34,6.90,178,0.35,0.70,0.60,F,65,C
2021-04-13,10:18:21.46,23.8152,121.4560,11.85,2.50,70,1.50,57,0.30,0.10,0.20,F,136,B
2021-04-13,10:18:56.63,23.8125,121.4500,11.68,1.40,16,0.90,84,0.31,0.30,0.30,F,27,B
2021-04-13,13:21:22.99,23.5763,121.5980,38.01,2.85,99,15.50,117,0.36,0.20,0.20,F,208,C
2021-04-13,14:59:56.08,24.2445,121.7102,45.84,2.12,43,8.00,126,0.34,0.40,0.40,F,83,C
2021-04-13,20:34:48.26,23.6720,121.2680,12.90,1.17,10,13.10,126,0.31,0.60,0.80,F,16,C
2021-04-14,02:22:50.21,23.8568,121.6292,46.72,2.08,16,5.90,212,0.33,1.50,1.70,F,28,D
2021-04-14,04:02:36.07,23.8895,121.6910,31.17,2.05,14,12.30,220,0.28,1.40,1.10,F,19,D
2021-04-14,04:03:34.56,23.9122,121.4250,13.96,1.30,9,9.10,80,0.27,0.90,1.50,F,16,A
2021-04-14,12:13:49.37,23.9372,121.5815,8.26,2.97,99,4.30,60,0.36,0.20,0.20,F,200,B
2021-04-14,17:14:36.20,24.1425,121.4860,5.58,2.72,80,7.10,37,0.33,0.10,0.20,F,146,C
2021-04-15,00:26:28.26,24.0792,121.6317,9.62,1.70,13,2.70,175,0.35,1.10,0.70,F,25,C
2021-04-15,17:46:16.30,23.4693,121.3098,11.87,2.18,55,4.20,91,0.32,0.20,0.20,F,103,C
2021-04-15,18:39:31.90,23.6883,121.7213,31.19,2.43,83,17.80,133,0.30,0.20,0.20,F,153,B
2021-04-15,21:47:28.53,23.4787,121.5447,36.28,2.25,66,20.30,114,0.33,0.20,0.20,F,127,C
2021-04-16,00:48:26.01,24.1830,121.5998,18.61,2.42,31,1.10,97,0.42,0.70,0.80,F,59,B
2021-04-16,04:25:01.39,23.5155,121.5762,41.95,1.95,9,23.70,251,0.27,1.20,1.50,F,17,C
2021-04-16,08:58:11.03,24.0570,121.5188,19.10,3.66,99,9.10,32,0.27,0.10,0.10,F,212,B
2021-04-16,19:03:07.98,24.0827,121.6137,8.09,1.21,15,0.90,160,0.35,0.90,0.50,F,26,C
2021-04-17,05:15:12.86,23.9312,121.5410,42.27,1.54,10,6.20,149,0.36,0.80,0.90,F,20,C
2021-04-17,06:48:31.37,23.7665,121.6270,33.25,1.82,23,7.00,138,0.32,1.00,0.60,F,45,C
2021-04-17,09:11:47.61,23.5620,121.5300,33.30,2.40,37,15.80,122,0.36,0.40,0.50,F,63,C
2021-04-17,20:19:39.88,23.6170,121.7055,32.76,2.52,61,19.00,155,0.29,0.30,0.20,F,109,C
2021-04-17,22:41:04.06,24.1440,121.7043,8.21,2.70,87,8.40,98,0.42,0.20,0.20,F,170,C
2021-04-18,06:18:07.20,23.8092,121.7077,44.13,2.10,24,15.00,151,0.32,0.70,0.70,F,43,C
2021-04-18,12:14:49.89,23.5088,121.4932,24.11,1.30,16,15.20,227,0.35,1.70,0.90,F,26,D
2021-04-18,14:11:39.58,23.8712,121.4847,16.30,5.80,99,7.90,66,0.26,0.10,0.10,F,309,B
2021-04-18,14:11:58.55,23.8852,121.4423,13.47,4.58,11,8.10,76,0.24,0.80,0.80,F,17,A
2021-04-18,14:12:28.48,23.9002,121.3863,13.07,3.82,16,11.30,69,0.24,0.60,0.40,F,21,B
2021-04-18,14:14:29.34,23.8840,121.4687,16.12,2.74,12,8.40,110,0.43,1.50,1.40,F,19,B
2021-04-18,14:14:37.80,23.8592,121.4800,14.42,6.26,99,6.50,45,0.26,0.10,0.10,F,322,B
2021-04-18,14:16:07.75,23.8278,121.4235,12.15,3.89,9,2.50,101,0.30,1.10,0.90,F,14,B
2021-04-18,14:17:02.30,23.8697,121.4453,15.43,3.74,22,6.40,50,0.34,0.60,0.70,F,41,A
2021-04-18,14:18:01.85,23.8052,121.4700,10.64,3.54,40,3.00,52,0.43,0.60,0.50,F,68,A
2021-04-18,14:18:20.47,23.8378,121.4328,11.43,2.71,6,3.00,95,0.27,1.20,1.50,F,10,B
2021-04-18,14:19:46.36,23.8878,121.4203,11.66,2.56,10,8.60,86,0.29,0.80,1.00,F,20,A
2021-04-18,14:19:59.03,23.8247,121.4327,11.44,2.20,13,1.70,59,0.29,0.70,0.80,F,21,A
2021-04-18,14:20:05.63,23.8038,121.4727,11.68,3.29,54,3.30,61,0.31,0.10,0.10,F,100,B
2021-04-18,14:20:38.13,23.8922,121.4448,14.80,2.76,27,8.90,48,0.33,0.50,0.60,F,52,A
