No. ,Orgin date,Longitude(E),Latitude(N),Magnitude,Depth,Location,Place,Place_2
Small area,2024-06-20 22:12:02,121.577,23.8242,4,22.4,23.82N 121.58E,i.e. 19.0 km SSW of Hualien County(23.82N 121.58E,i.e. 19.0 km SSW of Hualien County)
Small area,2024-06-20 21:22:34,121.64,24.0473,3.7,24.7,24.05N 121.64E,i.e. 6.6 km NNE of Hualien County(24.05N 121.64E,i.e. 6.6 km NNE of Hualien County)
Small area,2024-06-20 17:37:22,121.913,24.4502,3.6,14.7,24.45N 121.91E,i.e. 34.6 km SSE of Yilan County(24.45N 121.91E,i.e. 34.6 km SSE of Yilan County)
Small area,2024-06-20 16:05:40,121.672,24.0555,3.8,37,24.06N 121.67E,i.e. 8.9 km NE of Hualien County(24.06N 121.67E,i.e. 8.9 km NE of Hualien County)
Small area,2024-06-20 10:29:17,121.434,23.825,3.8,18.4,23.83N 121.43E,i.e. 26.4 km SW of Hualien County(23.83N 121.43E,i.e. 26.4 km SW of Hualien County)
Small area,2024-06-20 04:28:00,121.545,23.7392,4,3.6,23.74N 121.55E,i.e. 28.9 km SSW of Hualien County(23.74N 121.55E,i.e. 28.9 km SSW of Hualien County)
Small area,2024-06-19 23:53:46,120.528,23.2987,3.6,9.5,23.30N 120.53E,i.e. 29.9 km SE of Chiayi County(23.30N 120.53E,i.e. 29.9 km SE of Chiayi County)
Small area,2024-06-19 15:34:09,121.734,24.0137,4,16.9,24.01N 121.73E,i.e. 11.8 km ENE of Hualien County(24.01N 121.73E,i.e. 11.8 km ENE of Hualien County)
Small area,2024-06-19 13:48:39,121.65,24.026,4.1,26.4,24.03N 121.65E,i.e. 4.9 km NE of Hualien County(24.03N 121.65E,i.e. 4.9 km NE of Hualien County)
Small area,2024-06-18 15:26:37,121.681,23.9918,3.6,28.4,23.99N 121.68E,i.e. 6.2 km E of Hualien County(23.99N 121.68E,i.e. 6.2 km E of Hualien County)
422,2024-06-18 11:46:58,121.749,24.1567,5,17.6,24.16N 121.75E,i.e. 22.6 km NE of Hualien County(24.16N 121.75E,i.e. 22.6 km NE of Hualien County)
Small area,2024-06-18 01:06:43,121.787,24.393,3.4,9,24.39N 121.79E,i.e. 37.5 km S of Yilan County(24.39N 121.79E,i.e. 37.5 km S of Yilan County)
Small area,2024-06-17 22:17:09,121.659,23.9577,3.7,35,23.96N 121.66E,i.e. 5.4 km SE of Hualien County(23.96N 121.66E,i.e. 5.4 km SE of Hualien County)
Small area,2024-06-17 13:51:45,121.628,23.8912,3.6,33,23.89N 121.63E,i.e. 11.1 km S of Hualien County(23.89N 121.63E,i.e. 11.1 km S of Hualien County)
421,2024-06-16 16:27:38,121.703,23.933,4.5,38.6,23.93N 121.70E,i.e. 10.6 km SE of Hualien County(23.93N 121.70E,i.e. 10.6 km SE of Hualien County)
Small area,2024-06-16 15:03:28,121.412,23.2227,3.8,23.4,23.22N 121.41E,i.e. 58.3 km NNE of Taitung County(23.22N 121.41E,i.e. 58.3 km NNE of Taitung County)
Small area,2024-06-16 14:30:50,121.761,24.0862,3.8,27,24.09N 121.76E,i.e. 17.8 km NE of Hualien County(24.09N 121.76E,i.e. 17.8 km NE of Hualien County)
Small area,2024-06-16 09:50:19,121.679,24.1848,4.1,32.4,24.18N 121.68E,i.e. 22.3 km NNE of Hualien County(24.18N 121.68E,i.e. 22.3 km NNE of Hualien County)
420,2024-06-16 01:15:53,121.835,24.3247,4.1,11.6,24.32N 121.83E,i.e. 45.6 km S of Yilan County(24.32N 121.83E,i.e. 45.6 km S of Yilan County)
Small area,2024-06-15 23:24:27,121.704,23.9148,3.9,25.8,23.91N 121.70E,i.e. 12.0 km SE of Hualien County(23.91N 121.70E,i.e. 12.0 km SE of Hualien County)
Small area,2024-06-15 20:35:01,120.715,23.1502,3.7,7.5,23.15N 120.71E,i.e. 71.7 km NE of Kaohsiung City(23.15N 120.71E,i.e. 71.7 km NE of Kaohsiung City)
Small area,2024-06-14 23:16:30,121.211,23.7548,3.7,8.7,23.75N 121.21E,i.e. 55.5 km ESE of Nantou County(23.75N 121.21E,i.e. 55.5 km ESE of Nantou County)
Small area,2024-06-14 05:53:38,121.678,24.0395,3.8,31.6,24.04N 121.68E,i.e. 8.0 km NE of Hualien County(24.04N 121.68E,i.e. 8.0 km NE of Hualien County)
Small area,2024-06-14 04:54:39,121.493,23.9475,3.1,17.9,23.95N 121.49E,i.e. 13.8 km WSW of Hualien County(23.95N 121.49E,i.e. 13.8 km WSW of Hualien County)
Small area,2024-06-14 02:30:39,121.564,23.8023,3,4.8,23.80N 121.56E,i.e. 21.7 km SSW of Hualien County(23.80N 121.56E,i.e. 21.7 km SSW of Hualien County)
Small area,2024-06-14 02:08:06,121.571,23.7753,4,24.4,23.78N 121.57E,i.e. 24.4 km SSW of Hualien County(23.78N 121.57E,i.e. 24.4 km SSW of Hualien County)
Small area,2024-06-13 07:37:52,121.647,23.9433,4.2,39.7,23.94N 121.65E,i.e. 6.0 km SSE of Hualien County(23.94N 121.65E,i.e. 6.0 km SSE of Hualien County)
Small area,2024-06-13 05:20:01,121.546,24.495,3.6,5.6,24.50N 121.55E,i.e. 34.2 km SW of Yilan County(24.50N 121.55E,i.e. 34.2 km SW of Yilan County)
419,2024-06-12 20:41:12,121.476,23.7032,4.2,8.7,23.70N 121.48E,i.e. 35.1 km SSW of Hualien County(23.70N 121.48E,i.e. 35.1 km SSW of Hualien County)
418,2024-06-12 20:40:54,121.511,23.6858,4.2,4,23.69N 121.51E,i.e. 35.6 km SSW of Hualien County(23.69N 121.51E,i.e. 35.6 km SSW of Hualien County)
417,2024-06-12 05:51:33,121.612,23.7928,5,33.2,23.79N 121.61E,i.e. 22.0 km S of Hualien County(23.79N 121.61E,i.e. 22.0 km S of Hualien County)
Small area,2024-06-11 21:02:30,121.815,24.1522,3.5,21.1,24.15N 121.81E,i.e. 26.7 km NE of Hualien County(24.15N 121.81E,i.e. 26.7 km NE of Hualien County)
Small area,2024-06-11 09:23:27,121.664,24.0043,4.2,30.8,24.00N 121.66E,i.e. 4.7 km ENE of Hualien County(24.00N 121.66E,i.e. 4.7 km ENE of Hualien County)
Small area,2024-06-11 00:35:24,121.798,24.3995,3.4,9.2,24.40N 121.80E,i.e. 36.9 km S of Yilan County(24.40N 121.80E,i.e. 36.9 km S of Yilan County)
Small area,2024-06-10 11:56:18,122.757,23.7333,5.2,48.9,23.73N 122.76E,i.e. 119.3 km ESE of Hualien County(23.73N 122.76E,i.e. 119.3 km ESE of Hualien County)
Small area,2024-06-10 07:05:06,121.647,24.1808,4.1,31.1,24.18N 121.65E,i.e. 21.2 km N of Hualien County(24.18N 121.65E,i.e. 21.2 km N of Hualien County)
416,2024-06-10 04:05:43,121.805,24.3992,4.2,10.6,24.40N 121.81E,i.e. 37.0 km S of Yilan County(24.40N 121.81E,i.e. 37.0 km S of Yilan County)
Small area,2024-06-09 16:55:20,121.81,24.4483,3.1,17.5,24.45N 121.81E,i.e. 31.7 km S of Yilan County(24.45N 121.81E,i.e. 31.7 km S of Yilan County)
Small area,2024-06-09 04:31:33,121.28,23.9868,3.5,3.7,23.99N 121.28E,i.e. 34.6 km W of Hualien County(23.99N 121.28E,i.e. 34.6 km W of Hualien County)
